,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
26,ROOFTOP,"225 Warrigal Rd, Burwood VIC 3125, Australia",ChIJkfsrolNA1moRv4DiSfM8xP0,"Wattle Park Primary School VIC,Australia",-37.8426999,145.0981243,1,3125,OK,"establishment,point_of_interest,school"
27,ROOFTOP,"240 Nell St, Watsonia VIC 3087, Australia",ChIJWejAT4xI1moRMX0dYSs8mnw,"Watsonia Primary School VIC,Australia",-37.7068969,145.0868998,1,3087,OK,"establishment,point_of_interest,school"
28,GEOMETRIC_CENTER,"47-49 Phillipson St, Wangaratta VIC 3676, Australia",ChIJEf4oVc7bJmsR1T4IMrKiWfo,"Wangaratta West Primary School VIC,Australia",-36.3541217,146.304447,1,3676,OK,"establishment,point_of_interest,school"
29,ROOFTOP,"19 Chisholm St, Wangaratta VIC 3677, Australia",ChIJPfyke6XbJmsRtFeRpUw-LLU,"Wangaratta Primary School VIC,Australia",-36.3552677,146.3287568,1,3677,OK,"establishment,point_of_interest,school"
30,ROOFTOP,"119 School Rd, Wandiligong VIC 3744, Australia",ChIJS7GZ2esmJGsRDCQj0QKkdUk,"Wandiligong Primary School VIC,Australia",-36.7691679,146.9830133,1,3744,OK,"establishment,point_of_interest,school"
31,ROOFTOP,"38-64 Wallarano Dr, Noble Park VIC 3174, Australia",ChIJf1l4TGMT1moRx_0jvMhY9JE,"Wallarano Primary School VIC,Australia",-37.9797476,145.1702437,1,3174,OK,"establishment,point_of_interest,school"
32,ROOFTOP,"Wales St Primary School, 49 Wales St, Thornbury VIC 3071, Australia",ChIJG3JfC2NE1moRIyMok-2-L5Q,"Wales Street Primary School VIC,Australia",-37.7618012,145.0085537,1,3071,OK,"establishment,point_of_interest,school"
33,ROOFTOP,"Undera Primary School, 45-55 Anderson St, Undera VIC 3629, Australia",ChIJEQ-QSdyN2GoRGE7OvUsHOJM,"Undera Primary School VIC,Australia",-36.2761332,145.2188884,1,3629,OK,street_address
34,GEOMETRIC_CENTER,"Broadmeadows Rd, Tullamarine VIC 3043, Australia",ChIJizI279tb1moRmYbYrhsz0pY,"Tullamarine Primary School VIC,Australia",-37.7021639,144.8789719,1,3043,OK,"establishment,point_of_interest,school"
35,ROOFTOP,"16 Tucker Rd, Bentleigh VIC 3204, Australia",ChIJaRl0l-Jr1moRfOaoCrHjf6Q,"Tucker Road Bentleigh Primary School VIC,Australia",-37.9323391,145.0493776,1,3204,OK,"establishment,point_of_interest,school"
36,ROOFTOP,"30-44 Grey St, Traralgon VIC 3844, Australia",ChIJt7TY2CIYKWsRF_vm4APyo00,"Traralgon (Grey Street) Primary School  VIC,Australia",-38.1927424,146.5368301,1,3844,OK,"establishment,point_of_interest,school"
37,ROOFTOP,"75 Bayview Rd, Tooradin VIC 3980, Australia",ChIJfyQ05JYG1moRa6f2ug--Drs,"Tooradin Primary School VIC,Australia",-38.2078878,145.3788701,1,3980,OK,"establishment,point_of_interest,school"
