School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
283,Grovedale Primary School,Primary,O,16,14,30,17,16,33,21,20,41,20,17,37,24,19,43,15,14,29,30,18,48,261
5076,Grovedale West Primary School,Primary,O,39,31,70,26,24,50,25,24,49,25,37,62,21,30,51,21,17,38,22,19,41,361
2956,Gruyere Primary School,Primary,O,5,1,6,3,2,5,3,0.3,3.3,3,4,7,2,1,3,1,2,3,2,4,6,33.3
264,Guildford Primary School,Primary,O,0,0,0,0,0,0,0,1,1,1.6,1,2.6,0,0,0,0,1,1,0,3,3,7.6
2231,Gunbower Primary School,Primary,O,6,1,7,7,3,10,2,1,3,4,6,10,5,4,9,3,4,7,2,0,2,48
4853,Guthridge Primary School,Primary,O,39,26,65,41,23,64,35,29,64,28,33,61,25,27,52,32,31,63,20,27,47,416
5020,Guthrie Street Primary School Shepparton,Primary,O,48,28,76,38,36,74,46,32,78,41,34,75,41,42,83,41,44,85,31,26,57,528
1076,Haddon Primary School,Primary,O,17,16,33,15,19,34,25,21,46,9,19,28,14,8,22,23,16,39,16,8,24,226
244,Hallam Primary School,Primary,O,37,19,56,34,21,55,37,30,67,35,30,65,30,35,65,37,37,74,29,30,59,441
3058,Halls Gap Primary School,Primary,O,1,4,5,1,4,5,7,3,10,3,3,6,2,0,2,2,3,5,2,2,4,37
295,Hamilton (Gray Street) Primary School,Primary,O,18,20,38,26,30,56,22,23,45,17,19,36,24,26,50,21,19,40,21,24,45,310
