School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
2899,Lang Lang Primary School,Primary,O,14,13,27,11,10,21,10,11,21,9,10,19,15,9,24,18,14,32,17,11,28,172
1275,Langley Primary School,Primary,O,4,5,9,6,1,7,3,5,8,2,4,6,4,4,8,1,2,3,4,2,6,47
5257,Langwarrin Park Primary School,Primary,O,63,50,113,59,58,117,47,62,109,48,48,96,59,49,108,48.2,58,106.2,50,38,88,737.2
3531,Langwarrin Primary School,Primary,O,50,57,107,51,46,97,41,42,83,50,53,103,42,41,83,34,41,75,37,49,86,634
769,Lara Lake Primary School,Primary,O,48,74,122,35,41,76,42,70,112,37,49,86,51,60,111,44,47,91,53,33,86,684
4885,Lara Primary School,Primary,O,20,22,42,23,28,51,23,21,44,30,26,56,25,24,49,34,21,55,41,23,64,361
5393,Lardner and District Primary School,Primary,O,2,3,5,5,2,7,7,1,8,4.2,3,7.2,3,6,9,5,1.2,6.2,4,2,6,48.4
2599,Launching Place Primary School,Primary,O,13,17,30,13,9,22,17,25,42,27,13,40,17,22,39,24,17,41,23,19,42,256
5497,Laurimar Primary School,Primary,O,59,77,136,83,64,147,81,74,155,90,77,167,82,61.4,143.4,75,64.8,139.8,82,72,154,1042.2
6231,Lavers Hill K-12 College,Pri/Sec,O,2,0,2,0,3,3,3,4,7,0,0,0,2,2,4,1,1,2,3,2,5,23
8861,Laverton P-12 College,Pri/Sec,O,22,16,38,27,23,50,27,19,46,19,30,49,20,17,37,22,19,41,23,27,50,311
5422,Le Page Primary School,Primary,O,2,5,7,3,1,4,3,4,7,1,3,4,3,3,6,1,2.2,3.2,0,3,3,34.2
2087,Leitchville Primary School,Primary,O,0,1,1,0,1,1,0,1,1,2,0,2,1,1,2,4,0,4,1,2,3,14
4269,Lemnos Primary School,Primary,O,3,1,4,0,0,0,2,0,2,2,0,2,0,1,1,0,0,0,2,1,3,12
2981,Leongatha Primary School,Primary,O,43,46,89,54,42,96,42,35,77,44,52,96,46,48,94,38,54,92,43,44,87,631
1146,Leopold Primary School,Primary,O,60,56,116,52,63,115,60,40,100,59,45,104,54,53,107,80,61,141,48,52,100,783
1386,Lethbridge Primary School,Primary,O,9,7,16,15,10,25,10,15,25,7,10,17,5,11,16,8,8,16,9,9,18,133
5541,Lightning Reef Primary School,Primary,O,7,5,12,22,11,33,14,11,25,18,14,32,9,15,24,19,10,29,9,9,18,173
876,Lilydale Primary School,Primary,O,19,13,32,11,14,25,12,13,25,19,26,45,19,15,34,14,19,33,17,25,42,236
5057,Lilydale West Primary School,Primary,O,29,17,46,38,31,69,36,31,67,23,24,47,27,25,52,22,33,55,20,32,52,388
1120,Lindenow Primary School,Primary,O,12,10,22,15,12,27,9,11,20,14,10,24,11,3,14,9,12,21,6,4,10,138
2963,Lindenow South Primary School,Primary,O,2,2,4,1,1,2,2,2,4,1,0,1,1,3,4,6.4,5,11.4,3,1,4,30.4
880,Linton Primary School,Primary,O,3,4,7,2,0,2,1,3,4,3,3,6,2,3,5,1,3,4,1,1,2,30
1293,Lismore Primary School,Primary,O,2,4,6,7,2,9,2,1,3,4,1,5,0,2,2,1,2,3,4,1,5,33
2093,Little Bendigo Primary School,Primary,O,6,4,10,8,3,11,3,10,13,8,4,12,5,9,14,12,5,17,5,3,8,85
1961,Little River Primary School,Primary,O,12,11,23,15,3,18,16,11,27,12,12,24,12,8,20,13,7,20,10,8,18,150
5113,Livingstone Primary School,Primary,O,53.4,61,114.4,60,55,115,56,43,99,61,62,123,60,60,120,47,51,98,49,51,100,769.4
4139,Lloyd Street Primary School,Primary,O,26,53,79,44,50,94,27,36,63,48,33,81,37,34,71,46,25,71,39,32,71,530
2912,Loch Primary School,Primary,O,13,6,19,6,9,15,10,6,16,11,8,19,5,3,8,10,9,19,4,1,5,101
5245,Loch Sport Primary School,Primary,O,1,0,1,0,0,0,2,0,2,0,1,1,5,0,5,2,1,3,0,0,0,12
6233,Lockington Consolidated School,Primary,O,8,18,26,10,11,21,13,6,19,9,11,20,11,4,15,14,9,23,7,5,12,136
744,Lockwood Primary School,Primary,O,7,5,12,14,10,24,10,13,23,5,11,16,12,11,23,9,5,14,7,11,18,130
385,Lockwood South Primary School,Primary,O,1,1,2,4,2,6,3,5.4,8.4,1.4,2,3.4,1,0,1,4,2,6,3,2,5,31.8
1694,Longford Primary School,Primary,O,9,7,16,12,17,29,6,7,13,7,9,16,10,9,19,7,5,12,11,7,18,123
2505,Longwarry Primary School,Primary,O,14,8,22,9,16,25,10,16,26,10,16,26,9,20,29,8,12,20,10,13,23,171
2707,Longwood Primary School,Primary,O,2,0,2,0,0,0,0,0,0,1,0,1,0,2,2,1,0,1,3,0,3,9
7997,Lorne P-12 College,Pri/Sec,O,7,5,12,5,8,13,6,7,13,8,2,10,3,6,9,7,6,13,5,4,9,79
1295,Lower Plenty Primary School,Primary,O,17,12,29,13,8,21,13,12,25,13,15,28,18,13,31,9,9,18,6,4,10,162
1231,Lucknow Primary School,Primary,O,31,51,82,26,24,50,42,48,90,31,38,69,39,49,88,38,34,72,39,33,72,523
5494,Lynbrook Primary School,Primary,O,77,54,131,78,61,139,81,68,149,71,66,137,77.2,76,153.2,61,73,134,66,70,136,979.2
5535,Lyndale Greens Primary School,Primary,O,50,39,89,31,47,78,35,35,70,52,48,100,40,33,73,45,47,92,56.4,42,98.4,600.4
5521,Lyndhurst Primary School,Primary,O,72,74,146,74.6,64,138.6,66,69,135,66,69,135,62,51,113,46,53,99,33,33,66,832.6
1866,Lysterfield Primary School,Primary,O,41,53,94,58,28,86,55,44,99,35,41,76,37,28,65,33,44,77,37,24,61,558
1571,Macarthur Primary School,Primary,O,2,4,6,8,6,14,5,5,10,5,4,9,5,4,9,3,9,12,3,4,7,67
2022,Macarthur Street Primary School,Primary,O,7,6,13,10,9,19,8,3,11,15,3,18,5,3,8,6,8,14,3,5,8,91
3620,Macclesfield Primary School,Primary,O,11,14,25,15,13,28,11,20,31,11,13,24,14,9,23,17,13,30,16,15,31,192
1660,Macedon Primary School,Primary,O,21,19,40,16,14,30,23,15,38,22,11,33,24,21,45,13,11,24,19,14,33,243
5297,Mackellar Primary School,Primary,O,44,25,69,24,27,51,41,22,63,24,14,38,40,32,72,28,31,59,35,27,62,414
6242,Macleod College,Pri/Sec,O,7,10,17,8.4,4,12.4,6,8,14,8,6,14,8,6,14,18,7,25,14,15,29,125.4
861,Maffra Primary School,Primary,O,20,27,47,22,22,44,25,28,53,17,25,42,25,15,40,15,27,42,24,31,55,323
2271,Magpie Primary School,Primary,O,8,5,13,5,7,12,6,9,15,13,3,16,6,8,14,3,5,8,6,8,14,92
4939,Mahogany Rise Primary School,Primary,O,5,5,10,10,8,18,10,11,21,8,10,18,11,12,23,5,7,12,4,9,13,115
1592,Maiden Gully Primary School,Primary,O,39,31,70,56,45,101,51,51,102,38,42,80,46,37,83,23,42,65,33,24,57,558
1254,Maldon Primary School,Primary,O,6,5,11,6,4,10,11,6,17,8.8,5,13.8,9,4,13,8,5,13,12,6,18,95.8
3515,Mallacoota P-12 College,Pri/Sec,O,1,5,6,7,4,11,4,6,10,3,4,7,5,4,9,4,2,6,4,3,7,56
1408,Malmsbury Primary School,Primary,O,5,6,11,3,9,12,6,4,10,4,10,14,5,1,6,1,7,8,5,2,7,68
1604,Malvern Central School,Primary,O,38,32,70,38,29,67,38,27,65,38,36,74,27,35,62,40,17,57,15,12,27,422
2586,Malvern Primary School,Primary,O,61,52,113,52,55,107,53,42,95,73,45,118,63,44,107,34,36,70,42,45,87,697
4669,Malvern Valley Primary School,Primary,O,28,13,41,20,18,38,22,14,36,18,25,43,19,13,32,15,15,30,15,16,31,251
6235,Manangatang P-12 College,Pri/Sec,O,6,2.1,8.1,2,1,3,5,0,5,6,6,12,2,4,6,5,3,8,2,2,4,46.1
5009,Manchester Primary School,Primary,O,32,18,50,24,25,49,27,18,45,34,24,58,24,20,44,23,25,48,18,17,35,329
5185,Mandama Primary School,Primary,O,33,23,56,26,36,62,30,39,69,32,24,56,40,25,65,30,27,57,32,33,65,430
4224,Manifold Heights Primary School,Primary,O,26,44,70,24,34,58,32,34,66,27,29,56,33,23,56,27,22,49,23,18,41,396
8848,Manor Lakes P-12 College,Pri/Sec,O,55,57,112,62,70,132,67,56,123,74.6,58,132.6,66,60,126,78,88,166,71,73,144,935.6
5091,Manorvale Primary School,Primary,O,23,20,43,23,28,51,23,17,40,20,28,48,19,14,33,14,19,33,22,15,37,285
1112,Mansfield Primary School,Primary,O,22,31,53,37,26,63,22,32,54,28,33,61,30,18,48,24,31,55,19,21,40,374
5293,Maramba Primary School,Primary,O,26,20,46,18,19,37,20,18,38,20,20,40,30,28,58,21,28,49,37,37,74,342
5045,Marlborough Primary School,Primary,O,12,14,26,20,10,30,23,12,35,20,20,40,17,9,26,10,18,28,14,11,25,210
3433,Marlo Primary School,Primary,O,0,4,4,3,0,3,0,3,3,1,1,2,1,4,5,2,1,3,2,2,4,24
1554,Marnoo Primary School,Primary,O,2,1,3,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,3,1,4,11
400,Marong Primary School,Primary,O,21,9,30,16,8,24,15,7,22,16,10,26,3,9,12,7,5,12,8,4,12,138
1943,Maroona Primary School,Primary,O,0,5,5,2,5,7,2,1,3,2,2,4,0,3,3,0,0,0,3,2,5,27
8845,Maryborough Education Centre,Pri/Sec,O,16,19,35,19,17,36,22,23,45,22,19,41,20,27,47,28,31,59,27.6,25,52.6,328.6
1273,Marysville Primary School,Primary,O,5,2,7,2,1,3,7,4,11,4,5,9,4,4,8,5,5,10,1,2,3,51
4366,Mckinnon Primary School,Primary,O,41,47,88,60,56,116,76,62,138,52,47.6,99.6,70,55,125,48,65,113,60,52,112,791.6
5227,Meadow Heights Primary School,Primary,O,26,33,59,20,23,43,27,40,67,32,37,69,36,29,65,39,34,73,44,35,79,455
5286,Meadowglen Primary School,Primary,O,43,39,82,43,28,71,50,33,83,42,36,78,30.4,19.4,49.8,39,27,66,30,32,62,491.8
5524,Meadows Primary School,Primary,O,24,25,49,21,19,40,25,23,48,21,26,47,18,13,31,14,14.2,28.2,17,17,34,277.2
5141,Melrose Primary School,Primary,O,24,30,54,14,30,44,27,18,45,26,24,50,25,26,51,23,27,50,20,25,45,339
430,Melton Primary School,Primary,O,56,51,107,56,46,102,37,46,83,42,44,86,55.6,37,92.6,54,44,98,46,40,86,654.6
3717,Melton South Primary School,Primary,O,49,44,93,53,50,103,47,40,87,44,39,83,49,27,76,34,49,83,39,30,69,594
5036,Melton West Primary School,Primary,O,42,43,85,50,40,90,35,37,72,36,47,83,43,50,93,38,55,93,38,48,86,602
4955,Mentone Park Primary School,Primary,O,20,10,30,25,17,42,18,25,43,26,26,52,19,25,44,23,21,44,14,22,36,291
2950,Mentone Primary School,Primary,O,28,35,63,24,38,62,33,37,70,32,35,67,35,23,58,24,32,56,26,37,63,439
2457,Menzies Creek Primary School,Primary,O,12,16,28,19.6,14,33.6,14,23,37,16,18,34,18,19,37,14,12,26,15.8,13.4,29.2,224.8
8886,Merbein P-10 College,Pri/Sec,O,16,10,26,15,15,30,17,14,31,19,11,30,18,16,34,16,12,28,19,24,43,222
1420,Meredith Primary School,Primary,O,11,4,15,7,5,12,5,6,11,6,6,12,9,6,15,6,8,14,2,8,10,89
6237,Merino Consolidated School,Primary,O,1,2,3,1,1,2,0,1,1,1,0,1,4,1,5,0,1,1,0,1,1,14
8897,Mernda Central P-12 College,Pri/Sec,O,31,30,61,10,11,21,10,20,30,20,22,42,21,20,41,14,25,39,21,11,32,266
5525,Mernda Park Primary School,Primary,O,19,19,38,5,6,11,3,9,12,9,6,15,5,4,9,5,0,5,1,2,3,93
488,Mernda Primary School,Primary,O,73,59,132,79,79,158,81,67,148,64,54,118,72,52,124,56,56,112,40,53,93,885
3110,Merri Creek Primary School,Primary,O,33,32,65,36,27,63,35,35,70,32,27,59,37,31,68,28,32.6,60.6,30,28,58,443.6
1874,Merrigum Primary School,Primary,O,2,0,2,2,1,3,2,3,5,2,2,4,5,1,6,1,2,3,0,6,6,29
1379,Merrijig Primary School,Primary,O,2,1,3,2,5,7,1,0,1,5,1,6,2,2,4,2,3,5,4,0,4,30
4215,Merrivale Primary School,Primary,O,15,10,25,13,13,26,18,16,34,18,18,36,9,14,23,10,11,21,19,19,38,203
3050,Metung Primary School,Primary,O,1,2,3,2,6,8,3,5,8,3,6,9,7,5,12,8,2,10,6,4,10,60
1051,Mickleham Primary School,Primary,O,20,14,34,8,7,15,6,7,13,15,6,21,5,8,13,12,15,27,8,12,20,143
1115,Middle Indigo Primary School,Primary,O,1,4,5,3,3,6,2,2,4,2,3,5,6,0,6,4,0,4,1,1,2,32
3315,Middle Kinglake Primary School,Primary,O,3,5,8,4,4,8,2,5,7,5,3,8,3,7,10,3,6,9,1,3,4,54
2815,Middle Park Primary School,Primary,O,42,45,87,48,41,89,38,37,75,44,41,85,30,42,72,43,30,73,27,27,54,535
737,Milawa Primary School,Primary,O,5,4,9,11,5,16,4,5,9,6,8,14,6,2,8,5,5,10,5,5,10,76
2915,Mildura Primary School,Primary,O,26,26,52,23,29,52,23,17,40,16,27,43,20,20,40,21,29,50,25,20,45,322
4389,Mildura South Primary School,Primary,O,35,36,71,28,30,58,40,40,80,56,41,97,49,37,86,63,51,114,46,39,85,591
3983,Mildura West Primary School,Primary,O,20,23,43,20,36,56,31,21,52,26,23,49,30,35,65,38,26,64,23,24,47,376
5212,Milgate Primary School,Primary,O,52,44,96,46,62,108,46,42,88,41,38,79,58,39,97,37,28,65,46,38,84,617
5325,Mill Park Heights Primary School,Primary,O,70,67,137,75,67,142,60,70,130,73,68,141,78,74,152,68,63,131,81,61,142,975
5160,Mill Park Primary School,Primary,O,44,38,82,39,34,73,23,37,60,47,30,77,38.4,43,81.4,35,52,87,29,45,74,534.4
5441,Millwarra Primary School,Primary,O,4,6,10,13,6,19,11,7,18,3,5,8,7,6,13,11,9,20,12,7,19,107
1739,Miners Rest Primary School,Primary,O,35,21,56,36,19,55,27,27,54,23,26,49,21,18,39,24,12,36,27,16,43,332
2167,Minyip Primary School,Primary,O,2,2,4,2,1,3,1,2,3,6,0,6,0,3,3,4,2,6,1,1,2,27
2383,Mirboo North Primary School,Primary,O,23,13,36,20,18,38,27,26,53,26,10,36,32,15,47,19,25,44,24,19,43,297
2904,Mitcham Primary School,Primary,O,31,29,60,13,27,40,31,27,58,28,19,47,26,36,62,28,32,60,43,29,72,399
887,Mitta Mitta Primary School,Primary,O,1,0,1,1,0,1,1,1,2,0,1,1,2,0,2,0,0,0,0,1,1,8
2142,Moe (Albert Street) Primary School,Primary,O,10,5,15,11,10,21,11,7,18,9,9,18,12,14,26,12.7,8,20.7,12,9,21,139.7
4662,Moe (South Street) Primary School,Primary,O,18,24,42,33,29,62,34,32,66,36,13,49,15,22,37,26,17,43,22,16.4,38.4,337.4
4740,Moe Primary School,Primary,O,9,4,13,4,3,7,5,4,9,11,5,16,10,13,23,10,7,17,4,8,12,97
3265,Monbulk Primary School,Primary,O,16,17,33,16,21,37,22,10,32,23,25,48,16,15,31,23,14,37,21,22,43,261
5336,Monmia Primary School,Primary,O,11,18,29,19,15,34,21,19,40,21,18,39,22,23,45,22,27,49,26,23,49,285
3943,Mont Albert Primary School,Primary,O,45,43,88,46,48,94,55,42,97,71,48,119,56,57,113,59,41,100,51,48,99,710
4112,Montmorency Primary School,Primary,O,38,28,66,17,31,48,27,21,48,15,14,29,12,17,29,10,9,19,13,14,27,266
4925,Montmorency South Primary School,Primary,O,48,49,97,53,49,102,57,53,110,49,29,78,50,44,94,36.6,31,67.6,27,36,63,611.6
4972,Montpellier Primary School,Primary,O,51,33,84,38,40,78,51,43,94,45,33,78,40,51,91,43,40.4,83.4,47,54,101,609.4
2259,Montrose Primary School,Primary,O,59,51,110,46,39,85,51,37,88,59,28,87,44,41,85,36,19,55,29,25,54,564
1911,Moolap Primary School,Primary,O,19,17,36,18,24,42,15,9,24,20,10,30,18,11,29,13,16,29,12,19,31,221
4876,Moomba Park Primary School,Primary,O,23,24,47,28,14,42,31,17,48,20,14,34,17,10,27,22,14,36,16,7,23,257
1683,Moonambel Primary School,Primary,O,0,1,1,1,1,2,2,0,2,1,1,2,1,4,5,1,0,1,1,0,1,14
3987,Moonee Ponds Primary School,Primary,O,36,40,76,29,26,55,28,27,55,24.4,30,54.4,26,15,41,16,18,34,22,18,40,355.4
2901,Moonee Ponds West Primary School,Primary,O,35,43,78,51,43,94,40,37,77,48,45,93,45,31,76,31.6,40,71.6,36,39,75,564.6
1111,Moorabbin Primary School,Primary,O,18,18,36,22,11,33,13,18,31,13,13,26,21,20,41,17,19,36,20,14,34,237
2327,Moorooduc Primary School,Primary,O,22,21,43,18,14,32,14,15,29,12,20,32,28,14,42,33,23,56,21,20,41,275
5059,Mooroolbark East Primary School,Primary,O,51,41,92,51,34.4,85.4,49.2,48.4,97.6,42,32,74,40,48,88,41,45,86,41.4,38,79.4,602.4
1612,Mooroopna North Primary School,Primary,O,2,3,5,1,2,3,4,4,8,3,3,6,1,1,2,3,1,4,3,1,4,32
5088,Mooroopna Park Primary School,Primary,O,3,10,13,15,5,20,9,8,17,14,12,26,9,7,16,10,12,22,8,7,15,129
1432,Mooroopna Primary School,Primary,O,13,18,31,15,21,36,11,18,29,19,16,35,7,18,25,18,16,34,17,16,33,223
1975,Morang South Primary School,Primary,O,42,29,71,42,31,73,34,32,66,39,27,66,31,20,51,31.4,25,56.4,40,22,62,445.4
846,Mordialloc Beach Primary School,Primary,O,17,5,22,13,14,27,23,12,35,18,12,30,13,14,27,14,14,28,10,12,22,191
2837,Moreland Primary School,Primary,O,34,24,58,18,22,40,29,26,55,33,20,53,21,18,39,24,18,42,22,20,42,329
4117,Moriac Primary School,Primary,O,13,9,22,15,13,28,15,13,28,12,16,28,15,11,26,16,11,27,16,14,30,189
5040,Mornington Park Primary School,Primary,O,24,21,45,22,18,40,16,22,38,13,18,31,14,13,27,19,14,33,11,19,30,244
2033,Mornington Primary School,Primary,O,39,37,76,27,41,68,39,47,86,34,36,70,37,31,68,37,18,55,32,31,63,486
5376,Mortlake P-12 College,Pri/Sec,O,6,10,16,9,5,14,18,8,26,9,13,22,15,9,24,10,14,24,7,8,15,141
5568,Morwell Central Primary School,Primary,O,29,33,62,26,36,62,25,37,62,32,22,54,31,25,56,38,22,60,21,26,47,403
4975,Morwell Park Primary School,Primary,O,22,26,48,32,22,54,28,32,60,31,22,53,30,26,56,25,27,52,33,26.8,59.8,382.8
5002,Mossfiel Primary School,Primary,O,29,25,54,40,33,73,32,36,68,28,25,53,34,30,64,36,28,64,38,39,77,453
5205,Mossgiel Park Primary School,Primary,O,15,28,43,17,27,44,22,16,38,23,20,43,30,25,55,31,26,57,28,18,46,326
4644,Mount Beauty Primary School,Primary,O,10,15,25,20,8,28,13,15,28,10,16,26,12,23,35,16,10,26,16,16,32,200
2037,Mount Blowhard Primary School,Primary,O,4,3,7,6,3,9,1,6,7,11,8,19,7,2,9,8,6,14,2,3,5,70
427,Mount Clear Primary School,Primary,O,15,24,39,21,21,42,22,21,43,24,28,52,27,20,47,33,27,60,11,20,31,314
3284,Mount Dandenong Primary School,Primary,O,12,8,20,14,9,23,14,10,24,9,11,20,14,14,28,15,17,32,8,7,15,162
5380,Mount Duneed Regional Primary School,Primary,O,25,30,55,17,23,40,24,24,48,21,21,42,15,23,38,15,20,35,15,20,35,293
1918,Mount Egerton Primary School,Primary,O,4,1,5,1,1,2,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,11
5140,Mount Eliza North Primary School,Primary,O,45,40,85,49,45,94,50,49,99,54,47,101,46,40,86,44,56,100,37,29,66,631
1368,Mount Eliza Primary School,Primary,O,39,32,71,42,35,77,46,45,91,58,62,120,50,40,90,53,43,96,50,46,96,641
3642,Mount Evelyn Primary School,Primary,O,35.4,25.2,60.6,40,29,69,27,30,57,25,35,60,37,30,67,35,32,67,33,34,67,447.6
415,Mount Macedon Primary School,Primary,O,9,14,23,9,11,20,13,8,21,12,4,16,14,8,22,3,11,14,6,3,9,125
5171,Mount Martha Primary School,Primary,O,48,53,101,52,49,101,64,41,105,55,59,114,64,64,128,49,48,97,65,54,119,765
1436,Mount Pleasant Primary School,Primary,O,14,5,19,14,7,21,9,12,21,14,15,29,11,8,19,17,10,27,10,6,16,152
4808,Mount Pleasant Road Nunawading Primary School,Primary,O,32,45,77,23,28,51,27,19,46,14,28,42,21,20,41,18,22.2,40.2,15,12,27,324.2
8853,Mount Ridley P-12 College,Pri/Sec,O,57,52,109,57,51,108,54.2,50,104.2,62,72,134,58,45,103,75,67,142,90,60,150,850.2
4923,Mount View Primary School,Primary,O,59,65,124,89,68,157,84,73,157,91,79,170,93,70,163,63,95,158,74,66,140,1069
4832,Mount Waverley Heights Primary School,Primary,O,17,16,33,11,12,23,11,13,24,16,11,27,13,14,27,10,9,19,12,12,24,177
5430,Mount Waverley North Primary School,Primary,O,9,12,21,11,15,26,18,10,28,14,9,23,20,15,35,13,18,31,30,25,55,219
3432,Mount Waverley Primary School,Primary,O,63,58,121,65,59,124,56,60,116,51,54,105,58,60,118,59,58,117,54,54,108,809
4905,Mountain Gate Primary School,Primary,O,28,27,55,26,30,56,30,29,59,25,18,43,28,23,51,25,27,52,28,20,48,364
5139,Movelle Primary School,Primary,O,11,18,29,9,13,22,14,13,27,19,9,28,12,10,22,15,8,23,8,20,28,179
1335,Moyhu Primary School,Primary,O,1,1,2,1,1,2,3,1,4,2,4,6,3,4,7,0,2,2,2,1,3,26
1263,Moyston Primary School,Primary,O,2,2,4,3,2,5,2,1,3,2,4,6,4,1,5,2,1.5,3.5,3,1,4,30.5
2172,Mulgrave Primary School,Primary,O,23,26,49,33,32,65,29,17,46,22,27,49,26,27,53,21,22,43,19,28,47,352
4886,Mullum Primary School,Primary,O,20,30,50,20,10,30,27,14,41,23,27,50,21,30,51,21,27,48,29,24,53,323
1126,Murchison Primary School,Primary,O,5,8,13,8,5,13,7,5,12,8,10,18,7,11,18,10,4,14,10,8,18,106
3859,Murrabit Group School,Primary,O,1,2,3,6,3,9,2,2,4,3,0,3,4,2,6,2,2,4,2,0,2,31
5433,Murrayville Community College,Pri/Sec,O,2,4,6,2,2,4,5,3,8,7,3,10,2,3,5,6,5,11,4,4,8,52
3449,Murrumbeena Primary School,Primary,O,44,30,74,49,35,84,30,36,66,39,45,84,51,38,89,29,35,64,48,43,91,552
1549,Murtoa College,Pri/Sec,O,8,1,9,6,7,13,4,5,9,10,3,13,7,10,17,8,4,12,14,3,17,90
487,Myrniong Primary School,Primary,O,14,13,27,12,5,17,10,14,24,14,12,26,14,8,22,19,9,28,13,12,25,169
2677,Myrrhee Primary School,Primary,O,1,1.5,2.5,1,3,4,1,1,2,3,0,3,2,1,3,4,1,5,1,1,2,21.5
8873,Myrtleford P-12 College,Pri/Sec,O,18,6,24,18,8,26,8,7,15,22,16,38,11.6,14,25.6,15,10,25,11,11,22,175.6
1104,Nagambie Primary School,Primary,O,15,13,28,12,14,26,11,9,20,11,10,21,11,8,19,5,12,17,8,8,16,147
5395,Nambrok Denison Primary School,Primary,O,7,10,17,8,6,14,5,1,6,11,6,17,7,5,12,7,3,10,7,10,17,93
5402,Nangiloc Colignan and District Primary School,Primary,O,6,1,7,2,1,3,3,3,6,0,1,1,0,1,1,1,2,3,0,0,0,21
3708,Nanneella Estate Primary School,Primary,O,1,2,3,4,3,7,2,2,4,2,3,5,3,3,6,2,2,4,2,4,6,35
1072,Napoleons Primary School,Primary,O,7,9,16,4,8,12,10,6,16,13,5,18,6,7,13,8,7,15,9,3,12,102
2248,Nar Nar Goon Primary School,Primary,O,14,19,33,17,17,34,17,27,44,11,15,26,15,13,28,25,16,41,16,19,35,241
2295,Narracan Primary School,Primary,O,0,1,1,3,0,3,5,3,8,1,1,2,1,1,2,1,2,3,2,1,3,22
5382,Narrawong District Primary School,Primary,O,3,2,5,6,3,9,4,6,10,3,3,6,5,4,9,5,3,8,1,2,3,50
1901,Narre Warren North Primary School,Primary,O,23,35,58,30,31,61,32,21,53,26,21,47,23,14,37,26,21,47,20,21,41,344
8839,Narre Warren South P-12 College,Pri/Sec,O,33,48,81,42,36,78,45,40,85,49,53,102,71,58,129,75,57,132,55,67,122,729
2060,Nathalia Primary School,Primary,O,12,12,24,10,3,13,0,6,6,11,9,20,8,7,15,10,8,18,6,9,15,111
1548,Natimuk Primary School,Primary,O,3,4,7,1,1,2,0,3,3,2,6,8,5,0,5,1,1,2,1,5,6,33
1347,Natte Yallock Primary School,Primary,O,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4
1330,Navarre Primary School,Primary,O,0,0,0,0,0,0,2,0,2,2,1,3,1,0,1,0,0,0,0,2,2,8
5394,Neerim District Rural Primary School,Primary,O,3,1,4,0,3,3,2,2,4,1,4,5,3,2,5,1,1,2,2,1,3,26
2432,Neerim South Primary School,Primary,O,6,10,16,7,8,15,12,7,19,2,4,6,13,7,20,13,14,27,9,9,18,121
467,New Gisborne Primary School,Primary,O,56,34,90,51,42,93,45,50,95,36,32,68,46,37,83,46,37,83,34,33,67,579
4670,Newborough East Primary School,Primary,O,16,22,38,18,13,31,18,28,46,15,17,32,23,20,43,28,17,45,14,21,35,270
4650,Newborough Primary School,Primary,O,8,11,19,12,13,25,9,3,12,18,9,27,12,5,17,11,7,18,10,11,21,139
5545,Newbury Primary School,Primary,O,73,60,133,19,31,50,23,15,38,14,21,35,18,9,27,11,8,19,7,7,14,316
5444,Newcomb Park Primary School,Primary,O,6,5,11,7,7,14,9,8,17,6,7,13,11,2,13,3,9,12,8,3,11,91
1913,Newham Primary School,Primary,O,17,10,27,3,7,10,9,13,22,10,6,16,10,6,16,10,7,17,8,7,15,123
3053,Newhaven Primary School,Primary,O,10,14,24,6,12,18,13,10,23,10,6,16,10,15,25,15,11,26,6,7,13,145
4646,Newlands Primary School,Primary,O,23,10,33,14,9,23,16,14,30,15,15,30,13,17,30,11,5,16,6.4,7,13.4,175.4
453,Newlyn Primary School,Primary,O,2,1,3,2,2,4,1,1,2,0,1,1,2,3,5,0,0,0,0,0,0,15
2930,Newmerella Primary School,Primary,O,6,3,9,7,10,17,8,7,15,9,5,14,7,8,15,5,9,14,5,7,12,96
4665,Newport Gardens Primary School,Primary,O,47,46,93,47,46,93,36,37,73,45,48,93,26,25,51,23,17,40,20,19,39,482
113,Newport Lakes Primary School,Primary,O,41,42,83,33,43,76,34,29,63,26,31,57,33,26,59,26,30,56,24,23,47,441
452,Newstead Primary School,Primary,O,2,2,4,4,6,10,6,2,8,9,3,12,4,6,10,6,2,8,9,3,12,64
1887,Newtown Primary School,Primary,O,21,20,41,14,13,27,18,15,33,20,22,42,17,19,36,18,21,39,24,20,44,262
8833,Nhill College,Pri/Sec,O,8,9,17,7,11,18,5,10,15,12,7,19,4,10,14,7,7,14,15,8,23,120
3163,Nichols Point Primary School,Primary,O,27,46,73,30,31,61,49,36,85,34,33,67,27,38,65,31,26,57,29,23,52,460
1716,Nicholson Primary School,Primary,O,3,5,8,5,3,8,4,4,8,4,5,9,1,4,5,6,5,11,4,1,5,54
5410,Niddrie Primary School,Primary,O,22,31,53,15,20,35,17,20,37,20,10,30,19,20,39,26,21,47,23,11,34,275
