,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
160,ROOFTOP,"209 Flinders Ln, Melbourne VIC 3000, Australia",ChIJ9Z4kiLZC1moRbuh0Ew968RY,"209 Flinders Ln, Melbourne VIC 3000, Australia",-37.8164151,144.9674887,1,3000,OK,street_address
161,ROOFTOP,"156 Collins St, Melbourne VIC 3000, Australia",ChIJMfAoIrZC1moRfBCNhYDENZo,"156 Collins St, Melbourne VIC 3000, Australia",-37.8146457,144.9681964,1,3000,OK,premise
162,ROOFTOP,"500 Collins St, Melbourne VIC 3000, Australia",ChIJUTiQTExd1moR90r_nIkxF_8,"500 Collins St, Melbourne VIC 3000, Australia",-37.8176127,144.9574838,1,3000,OK,premise
163,ROOFTOP,"209 Flinders Ln, Melbourne VIC 3000, Australia",ChIJ9Z4kiLZC1moRbuh0Ew968RY,"209 Flinders Ln, Melbourne VIC 3000, Australia",-37.8164151,144.9674887,1,3000,OK,street_address
164,RANGE_INTERPOLATED,"193 Hotham St, East Melbourne VIC 3002, Australia",EjExOTMgSG90aGFtIFN0LCBFYXN0IE1lbGJvdXJuZSBWSUMgMzAwMiwgQXVzdHJhbGlh,"193 Hotham St, East Melbourne VIC 3002, Australia",-37.8139774,144.9836783,1,3002,OK,street_address
165,ROOFTOP,"176 Simpson St, East Melbourne VIC 3002, Australia",ChIJqXtx2uVC1moRSJUhyNvKx0Q,"176 Simpson St, East Melbourne VIC 3002, Australia",-37.8103596,144.9891737,1,3002,OK,premise
166,ROOFTOP,"15 Gisborne St, East Melbourne VIC 3002, Australia",ChIJ7Sj4U8RC1moRPbfX86ieOSA,"15 Gisborne St, East Melbourne VIC 3002, Australia",-37.8097641,144.9751564,1,3002,OK,street_address
167,RANGE_INTERPOLATED,"193 Hotham St, East Melbourne VIC 3002, Australia",EjExOTMgSG90aGFtIFN0LCBFYXN0IE1lbGJvdXJuZSBWSUMgMzAwMiwgQXVzdHJhbGlh,"193 Hotham St, East Melbourne VIC 3002, Australia",-37.8139774,144.9836783,1,3002,OK,street_address
168,RANGE_INTERPOLATED,"193 Hotham St, East Melbourne VIC 3002, Australia",EjExOTMgSG90aGFtIFN0LCBFYXN0IE1lbGJvdXJuZSBWSUMgMzAwMiwgQXVzdHJhbGlh,"193 Hotham St, East Melbourne VIC 3002, Australia",-37.8139774,144.9836783,1,3002,OK,street_address
169,RANGE_INTERPOLATED,"193 Hotham St, East Melbourne VIC 3002, Australia",EjExOTMgSG90aGFtIFN0LCBFYXN0IE1lbGJvdXJuZSBWSUMgMzAwMiwgQXVzdHJhbGlh,"193 Hotham St, East Melbourne VIC 3002, Australia",-37.8139774,144.9836783,1,3002,OK,street_address
170,RANGE_INTERPOLATED,"193 Hotham St, East Melbourne VIC 3002, Australia",EjExOTMgSG90aGFtIFN0LCBFYXN0IE1lbGJvdXJuZSBWSUMgMzAwMiwgQXVzdHJhbGlh,"193 Hotham St, East Melbourne VIC 3002, Australia",-37.8139774,144.9836783,1,3002,OK,street_address
171,ROOFTOP,"33 Howard St, West Melbourne VIC 3003, Australia",ChIJF5h14TZd1moRfTP-Xj7q-40,"33 Howard St, West Melbourne VIC 3003, Australia",-37.8057948,144.9524152,1,3003,OK,street_address
172,ROOFTOP,"400 City Rd, Southbank VIC 3006, Australia",ChIJnV1MTf9n1moRTOdFni6JcNA,"400 City Rd, Southbank VIC 3006, Australia",-37.829386,144.9556897,1,3006,OK,street_address
173,ROOFTOP,"20 City Rd, Southbank VIC 3006, Australia",ChIJizVBebFC1moRuUDuF25dKwQ,"20 City Rd, Southbank VIC 3006, Australia",-37.8208201,144.9672498,1,3006,OK,premise
