list
Bayside Library Service
City of Boroondara Library Service
Brimbank Libraries
Campaspe Regional Library
Casey Cardinia Libraries
Central Highlands Libraries
Corangamite Regional Library Corporation
Darebin Libraries
East Gippsland Shire Library
Eastern Regional Libraries Corporation
Frankston City Libraries
Gannawarra Library Service
Geelong Regional Library Corporation
Glen Eira Library Service
Glenelg Libraries
Goldfields Library Corporation
Goulburn Valley Regional Library Corporation
Greater Dandenong Libraries
High Country Library Corporation
Hobsons Bay Libraries
Hume Libraries
Indigo Shire Libraries
Kingston Information & Library Service
Latrobe City Libraries
Maribyrnong Library Service
Melbourne Library Service
Melton City Libraries
Mildura Rural City Council Library Service
Mitchell Shire Library Service
Monash Public Library Service
Moonee Valley Libraries
Moreland City Libraries
Mornington Peninsula Library Service
Murrindindi Library Service
Port Phillip Library Service
Stonnington Library & Information Service
Swan Hill Regional Library Service
Towong Shire Libraries
Wellington Shire Library
West Gippsland Regional Library Corporation
Whitehorse Manningham Regional Library Corporation
Wimmera Regional Library Corporation
Wodonga Library
Wyndham City Library Service
Yarra Libraries
Yarra Plenty Regional Library Service
Public Libraries Victoria Network Inc (PLVN)
State Library Victoria
Vision Australia Information Library Service
Mechanics' Institutes of Victoria Inc
