,accuracy,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
299,ROOFTOP,"9 Claredale Rd, Doveton VIC 3177, Australia","Ebenezer Christian Assembly Church VIC,Australia",-37.9976282,145.2281677,2,3177,OK
300,ROOFTOP,"121 Stud Rd, Dandenong VIC 3175, Australia","Lifespring Church Church VIC,Australia",-37.9751686,145.2196038,1,3175,OK
301,ROOFTOP,"255 Outlook Dr, Dandenong North VIC 3175, Australia","Dandenong Christian Reformed Church Church VIC,Australia",-37.9399028,145.2111751,1,3175,OK
302,ROOFTOP,"15 Clifford St, Huntingdale VIC 3166, Australia","Faith Christian Church Church VIC,Australia",-37.9093937,145.1055557,1,3166,OK
303,ROOFTOP,"127 Kidds Rd, Doveton VIC 3177, Australia","Doveton Baptist Church VIC,Australia",-37.9877151,145.2387448,1,3177,OK
304,ROOFTOP,"1070 Stud Rd, Rowville VIC 3178, Australia","Australia for Christ Fellowship Church VIC,Australia",-37.9156516,145.2338271,1,3178,OK
305,ROOFTOP,"7 Seismic Ct, Rowville VIC 3178, Australia","Hillview Community Church Church VIC,Australia",-37.908617,145.245274,1,3178,OK
306,GEOMETRIC_CENTER,"Wellington Rd & Le John St, Rowville VIC 3178, Australia","Rowville Baptist Church VIC,Australia",-37.9260098,145.2498955,1,3178,OK
307,ROOFTOP,"1139 Buxton-Marysville Rd, Marysville VIC 3779, Australia","the.Church Church VIC,Australia",-37.508645,145.749749,1,3779,OK
308,ROOFTOP,"11501 Bannister Rd, Kansas City, MO 64134, USA","Hope of Glory Church VIC,Australia",38.949347,-94.4490969,1,64134,OK
309,ROOFTOP,"31 Spring St, Prahran VIC 3181, Australia","Melbourne Zimbabwean Methodist Church VIC,Australia",-37.8504818,145.0047418,1,3181,OK
310,ROOFTOP,"61 Mcilwrick St, Windsor VIC 3181, Australia","Kardinia Church Church VIC,Australia",-37.855939,144.996823,1,3181,OK
311,ROOFTOP,"334 Fulton Ave, Hempstead, NY 11550, USA","Miracle Christian Centre Church VIC,Australia",40.7087559,-73.6223491,1,11550,OK
312,ROOFTOP,"9 Pakington St, St Kilda VIC 3182, Australia","St Kilda Baptist Church VIC,Australia",-37.866083,144.986975,1,3182,OK
314,ROOFTOP,"156 Collins St, Melbourne VIC 3000, Australia","Elwood Presbyterian Church VIC,Australia",-37.8146256,144.9681937,1,3000,OK
315,ROOFTOP,"164 Bay St, Brighton VIC 3186, Australia","Brighton Baptist Church VIC,Australia",-37.90508,144.997601,1,3186,OK
316,ROOFTOP,"2 Wolseley Grove, Brighton VIC 3186, Australia","St Leonard's Uniting Church VIC,Australia",-37.9261836,144.9946449,1,3186,OK
317,ROOFTOP,"360 Church St, Richmond VIC 3121, Australia","St Stephen's Anglican Church VIC,Australia",-37.8224703,144.9981836,1,3121,OK
319,ROOFTOP,"99-101 Argus St, Cheltenham VIC 3192, Australia","Bayside church Church VIC,Australia",-37.959779,145.07473,2,3192,OK
320,ROOFTOP,"223-225 Balcombe Rd, Beaumaris VIC 3193, Australia","Beaumaris Baptist Church VIC,Australia",-37.9794276,145.0475865,1,3193,OK
321,ROOFTOP,"78 Dalgetty Rd, Beaumaris VIC 3193, Australia","Beaumaris-Black Rock Uniting Church VIC,Australia",-37.9867175,145.0380681,2,3193,OK
322,ROOFTOP,"36 Harpley St, Cheltenham VIC 3192, Australia","Mentone Baptist Church VIC,Australia",-37.974183,145.0724556,1,3192,OK
323,ROOFTOP,"12 McDonald St, Mordialloc VIC 3195, Australia","Mordialloc Presbyterian Church VIC,Australia",-38.00482,145.0882065,1,3195,OK
325,ROOFTOP,"13 Hi-Tech Pl, Seaford VIC 3198, Australia","Fire Church Church VIC,Australia",-38.116244,145.138684,1,3198,OK
326,GEOMETRIC_CENTER,"Delacombe Park, Overport Road, Frankston South VIC 3199, Australia","Frankston Reformed Presbyterian Church VIC,Australia",-38.162382,145.125832,2,3199,OK
