name
"Shree Swaminarayan Temple, Boronia"
"BAPS Swami Narayan Temple, Mill park"
Aumsai Sanstan Temple
Vaishnav Sangh ¨C Shreenathji Temple
"Shree Shirdi Sai Mandir , Camberwell"
"Shri Shiva Vishnu Temple, Carrum Downs"
Melbourne Buddhist Centre
Kadampa Meditation Centre Melbourne
Buddha Bodhivana Monastery
Bright Moon Buddhist Society
Dhamma Sarana Temple
Fo Guang Shan Er You Temple
Heavenly Queen?Temple
