,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,
27,ROOFTOP,"26-46 Wilson Rd, Melton VIC 3337, Australia",ChIJTSBqstmS1moRmlsdP9MjFuw,"Staughton College VIC,Australia",-37.707384,144.5686161,1,3337,OK,Melton Language School
28,GEOMETRIC_CENTER,"Fourteenth St & Deakin Avenue, Mildura VIC 3500, Australia",ChIJBYDn1HgEw2oR4BRDFKV5BQ8,"Mildura Senior College VIC,Australia",-34.1977663,142.1441869,1,3500,OK,Mildura Language School
29,ROOFTOP,"43/81 Browns Rd, Noble Park North VIC 3174, Australia",ChIJSYZ9p00U1moRvZp3-VUVLHw,"Carwatha College P-12 VIC,Australia",-37.9423877,145.1899037,1,3174,OK,Noble Park (Carwatha College) Language School
30,ROOFTOP,"130 Separation St, North Geelong VIC 3215, Australia",ChIJfXy35DER1GoRrf29QZ71O4c,"North Geelong Secondary College VIC,Australia",-38.1095646,144.3407233,1,3215,OK,North Geelong Language School
31,ROOFTOP,"77 Story St, Parkville VIC 3052, Australia",ChIJ2cyxDSxd1moRO9epscTiKWg,"University High School VIC,Australia",-37.797466,144.956067,2,3052,OK,Parkville (University HS) Language School
32,ROOFTOP,"23 Bergamot Dr, Point Cook VIC 3030, Australia",ChIJgb8LdZ2I1moR8ZBi4Y8Qosg,"Point Cook Senior Secondary College VIC,Australia",-37.8875777,144.7337238,2,3030,OK,Point Cook Language School
33,ROOFTOP,"60/70 Donald Cameron Dr, Roxburgh Park VIC 3064, Australia",ChIJmQNh67JR1moRBC6oP08Ia9A,"Roxburgh College VIC,Australia",-37.6317113,144.9299742,1,3064,OK,Roxburgh Language School
34,ROOFTOP,"31-71 Hawdon St, Shepparton VIC 3630, Australia",ChIJTWgKFpKD2GoRIZAtNCadDmk,"Shepparton High School VIC,Australia",-36.3725358,145.4160152,1,3630,OK,Shepparton Language School
35,GEOMETRIC_CENTER,"Bakers Rd, Oakleigh South VIC 3167, Australia",ChIJVb_jJKZr1moR1QT3wnu1oyc,"South Oakleigh Secondary College VIC,Australia",-37.9222441,145.0908995,1,3167,OK,South Oakleigh Language School
36,ROOFTOP,"25 Lachlan Rd, Sunshine West VIC 3020, Australia",ChIJ-eSKwW5g1moRBf3ZEHkQa1c,"Sunshine Secondary College VIC,Australia",-37.7927837,144.8141194,1,3020,OK,Sunshine Language School
37,ROOFTOP,"1-39 Parmelia Dr, Taylors Lakes VIC 3038, Australia",ChIJe_MA0Fdf1moRk00WJPWU0j0,"Taylors Lakes Secondary College VIC,Australia",-37.707354,144.794398,1,3038,OK,Taylors Lakes Language School
38,ROOFTOP,"80-96 Main St, Thomastown VIC 3074, Australia",ChIJLQ3_NZlP1moRIwfEaT5gebA,"Thomastown Secondary College VIC,Australia",-37.6785134,145.003084,1,3074,OK,Thomastown Language School
39,ROOFTOP,"30-44 Grey St, Traralgon VIC 3844, Australia",ChIJt7TY2CIYKWsRF_vm4APyo00,"Grey Street Primary School VIC,Australia",-38.1927424,146.5368301,1,3844,OK,Traralgon Language School
40,GEOMETRIC_CENTER,"Grafton Rd, Warrnambool VIC 3280, Australia",ChIJOwWkV7dNzWoRdLxqqnAy9GI,"Warrnambool College VIC,Australia",-38.377042,142.500214,1,3280,OK,Warrnambool Language School
41,ROOFTOP,"225 Hoppers Ln, Werribee VIC 3030, Australia",ChIJ3zcM7aqI1moRtzgSmkd96sE,"Suzanne Cory High School VIC,Australia",-37.8935671,144.700048,1,3030,OK,Werribee (Suzanne Cory HS) Language School
42,ROOFTOP,"80 Brockley St, Wodonga VIC 3690, Australia",ChIJc7ds_vxYIWsRIg2oS5zLGoU,"Wodonga M.Y College VIC,Australia",-36.1273437,146.8810619,1,3690,OK,Wodonga 
