formatted_address,input_string,latitude,longitude,postcode,name,Type 
"80 Harrick Rd, Keilor Park VIC 3042, Australia","Keilor City Church Church VIC,Australia",-37.724357,144.84738,3042,Keilor City Church Church,Christian
"49 Freight Rd, Tullamarine VIC 3043, Australia","Realife Church VIC,Australia",-37.6919883,144.8773695,3043,Realife Church,Christian
"Derby St & Kent Road, Pascoe Vale South VIC 3044, Australia","Moreland ChristianChurch Church VIC,Australia",-37.7208986,144.9475886,3044,Moreland ChristianChurch Church,Christian
"701-703 Pascoe Vale Rd, Glenroy VIC 3046, Australia","MeadowView Baptist Church VIC,Australia",-37.7103736,144.9166674,3046,MeadowView Baptist Church,Christian
"26 Millewa Cres, Dallas VIC 3047, Australia","Hume Community Baptist Church VIC,Australia",-37.6741304,144.9291326,3047,Hume Community Baptist Church,Christian
"9 Western Ave, Westmeadows VIC 3049, Australia","LifeHouse Church VIC,Australia",-37.684936,144.881076,3049,LifeHouse Church,Christian
"135 Capel St, North Melbourne VIC 3051, Australia","Central (Chinese) Baptist Church VIC,Australia",-37.8046837,144.9552868,3051,Central (Chinese) Baptist Church,Christian
"161 -167 Peel St, North Melbourne VIC 3051, Australia","Greek Free Church Church VIC,Australia",-37.804155,144.955941,3051,Greek Free Church Church,Christian
"62 Mark St, North Melbourne VIC 3051, Australia","Melbourne Life Church VIC,Australia",-37.7934011,144.9379942,3051,Melbourne Life Church,Christian
"62 Mark St, North Melbourne VIC 3051, Australia","Life Church Church VIC,Australia",-37.7934011,144.9379942,3051,Life Church Church,Christian
"54 Lygon St, Carlton VIC 3053, Australia","Lygon St Christian Chapel Church VIC,Australia",-37.8059012,144.966192,3053,Lygon St Christian Chapel Church,Christian
"235 Palmerston St, Carlton VIC 3053, Australia","St Jude's Anglican Church VIC,Australia",-37.796229,144.967403,3053,St Jude's Anglican Church,Christian
"491 Sydney Rd, Brunswick VIC 3056, Australia","Brunswick Baptist Church VIC,Australia",-37.765521,144.9620331,3056,Brunswick Baptist Church,Christian
"298 Sydney Rd, Coburg VIC 3058, Australia","Coburg Baptist Church VIC,Australia",-37.7470071,144.9661184,3058,Coburg Baptist Church,Christian
"111 Anderson Rd, Fawkner VIC 3060, Australia","Faith Baptist Church VIC,Australia",-37.6962993,144.9666096,3060,Faith Baptist Church,Christian
"127 Craigieburn Rd West, Craigieburn VIC 3064, Australia","Central Life Church VIC,Australia",-37.598557,144.935054,3064,Central Life Church,Christian
"16 Rushwood Dr, Craigieburn VIC 3064, Australia","Joy of Life ChristianMinistries Church VIC,Australia",-37.611827,144.950199,3064,Joy of Life ChristianMinistries Church,Christian
"9 Lachlan Cres, Roxburgh Park VIC 3064, Australia","Roxburgh Park Community Church VIC,Australia",-37.618225,144.927568,3064,Roxburgh Park Community Church,Christian
"75 Interlink Dr, Craigieburn VIC 3064, Australia","Salvos 3064 Church VIC,Australia",-37.603354,144.946952,3064,Salvos 3064 Church,Christian
"16 Rayfield Ave, Craigieburn VIC 3064, Australia","St Thomas Uniting Church VIC,Australia",-37.59681,144.935624,3064,St Thomas Uniting Church,Christian
"King William St, Fitzroy VIC 3065, Australia","All Saints Church VIC,Australia",-37.8022236,144.9786117,3065,All Saints Church,Christian
"16-18 Michael St, North Fitzroy VIC 3068, Australia","Clifton Hill Presbyterian Church VIC,Australia",-37.78749,144.990686,3068,Clifton Hill Presbyterian Church,Christian
"75 Reid St, Fitzroy North VIC 3068, Australia","Fitzroy North Community Church VIC,Australia",-37.785316,144.980772,3068,Fitzroy North Community Church,Christian
"542 High St, Northcote VIC 3070, Australia","Northcote Baptist Church VIC,Australia",-37.7636829,145.0001638,3070,Northcote Baptist Church,Christian
"2/177 Beavers Rd, Northcote VIC 3070, Australia","Community Church Church VIC,Australia",-37.7653809,144.9859464,3070,Community Church Church,Christian
"390-398 St Georges Rd, Thornbury VIC 3071, Australia","Thornbury Church of Christ VIC,Australia",-37.75691,144.994253,3071,Thornbury Church of Christ,Christian
"81 High St, Preston VIC 3072, Australia","Northern Community Church of Christ VIC,Australia",-37.7497863,145.0018432,3072,Northern Community Church of Christ,Christian
"108 Cramer St, Preston VIC 3072, Australia","West Preston Baptist Church VIC,Australia",-37.7388067,144.9905286,3072,West Preston Baptist Church,Christian
"40/42 Gilbert Rd, Melbourne VIC 3072, Australia","St. Mark's Church Church VIC,Australia",-37.749541,144.988424,3072,St. Mark's Church Church,Christian
"648 High St, Reservoir VIC 3073, Australia","Acts 2 Faith Church VIC,Australia",-37.7299601,145.0056227,3073,Acts 2 Faith Church,Christian
"1 Livingstone St, Ivanhoe VIC 3079, Australia","Ivanhoe Baptist Church VIC,Australia",-37.76766,145.04263,3079,Ivanhoe Baptist Church,Christian
"420 Waterdale Rd, Heidelberg West VIC 3081, Australia","Heidelberg West Church of Christ VIC,Australia",-37.747403,145.0471811,3081,Heidelberg West Church of Christ,Christian
"5 Waiora Rd, Heidelberg Heights VIC 3081, Australia","Rosanna Baptist Church VIC,Australia",-37.746469,145.057652,3081,Rosanna Baptist Church,Christian
"5 Waiora Rd, Heidelberg Heights VIC 3081, Australia","Rosanna Christian Church Church VIC,Australia",-37.746469,145.057652,3081,Rosanna Christian Church Church,Christian
"11 Morang Dr, Mill Park VIC 3082, Australia","Mill Park Baptist Church VIC,Australia",-37.660737,145.053991,3082,Mill Park Baptist Church,Christian
"19 Enterprise Dr, Bundoora VIC 3083, Australia","Bundoora Presbyterian Church VIC,Australia",-37.684576,145.071018,3083,Bundoora Presbyterian Church,Christian
"31-61 McLeans Rd, Bundoora VIC 3083, Australia","Encompass Church VIC,Australia",-37.6944794,145.054664,3083,Encompass Church,Christian
"31-61 McLeans Rd, Bundoora VIC 3083, Australia","Encompass Church VIC,Australia",-37.6944794,145.054664,3083,Encompass Church,Christian
"37 Grimshaw St, Greensborough VIC 3088, Australia","Living Faith Church Church VIC,Australia",-37.7049411,145.1054777,3088,Living Faith Church Church,Christian
"309 Diamond Creek Rd, Plenty VIC 3090, Australia","Diamond Valley Baptist Church VIC,Australia",-37.6776239,145.1230958,3090,Diamond Valley Baptist Church,Christian
"360 Main Rd, Lower Plenty VIC 3093, Australia","Planetshakers North East Church VIC,Australia",-37.7302417,145.1278416,3093,Planetshakers North East Church,Christian
"24 Mayona Rd, Montmorency VIC 3094, Australia","Montmorency Community Church Church VIC,Australia",-37.7137553,145.1169585,3094,Montmorency Community Church Church,Christian
"43/49 Nyora Rd, Eltham VIC 3095, Australia","Eltham Baptist Church VIC,Australia",-37.7171909,145.168992,3095,Eltham Baptist Church,Christian
"23 Batman Rd, Eltham VIC 3095, Australia","Eltham Presbyterian Church VIC,Australia",-37.7074188,145.1515753,3095,Eltham Presbyterian Church,Christian
"39 Lower Rd, Eltham North VIC 3095, Australia","Glen Park Gospel Church VIC,Australia",-37.7000604,145.1498504,3095,Glen Park Gospel Church,Christian
"960 Heidleberg-Kinglake Rd, Hurstbridge VIC 3099, Australia","Green Wedge Christian Community Church VIC,Australia",-37.6368093,145.1973378,3099,Green Wedge Christian Community Church,Christian
"301 Cotham Rd, Kew VIC 3101, Australia","Life In Christ Church Church VIC,Australia",-37.8098389,145.0572776,3101,Life In Christ Church Church,Christian
"10 Highbury Grove, Kew VIC 3101, Australia","Kew Baptist Church VIC,Australia",-37.8064818,145.0371195,3101,Kew Baptist Church,Christian
"75A Cotham Rd, Kew VIC 3101, Australia","Melbourne (Chinese) Baptist Church VIC,Australia",-37.8073049,145.0370582,3101,Melbourne (Chinese) Baptist Church,Christian
"2 Leonard St, Deepdene VIC 3103, Australia","Balwyn Gospel Chapel Church VIC,Australia",-37.8106981,145.0680833,3103,Balwyn Gospel Chapel Church,Christian
"184 Balwyn Rd, Balwyn VIC 3103, Australia","Balwyn Wesleyan Methodist Church VIC,Australia",-37.80407,145.083408,3103,Balwyn Wesleyan Methodist Church,Christian
"16 Osburn Ave, Balwyn North VIC 3104, Australia","St Hils Anglican Church VIC,Australia",-37.7952252,145.0737169,3104,St Hils Anglican Church,Christian
"136 Doncaster Rd, North Balwyn VIC 3104, Australia","North Balwyn Baptist Church VIC,Australia",-37.7942022,145.0789695,3104,North Balwyn Baptist Church,Christian
"30 Lilian St, Bulleen VIC 3105, Australia","St Timothys Anglican Church VIC,Australia",-37.77201,145.096195,3105,St Timothys Anglican Church,Christian
"143/145 Parker St, Templestowe VIC 3106, Australia","Manningham Christian Centre Church VIC,Australia",-37.757695,145.127817,3106,Manningham Christian Centre Church,Christian
"41 Marcus Rd, Templestowe Lower VIC 3107, Australia","Bulleen Baptist Church VIC,Australia",-37.7680692,145.1041966,3107,Bulleen Baptist Church,Christian
"41 Marcus Rd, Manningham VIC 3107, Australia","SonLife Community Church VIC,Australia",-37.7680749,145.1041876,3107,SonLife Community Church,Christian
"674-680 Doncaster Rd, Doncaster VIC 3108, Australia","Doncaster Church of Christ VIC,Australia",-37.787799,145.130224,3108,Doncaster Church of Christ,Christian
"188 Blackburn Rd, Doncaster East VIC 3109, Australia","Edge Church Melbourne VIC,Australia",-37.785359,145.16304,3109,Edge Church Melbourne,Christian
"51-59 Dehnert St, Doncaster East VIC 3109, Australia","Bread of Life Church VIC,Australia",-37.7825727,145.1488686,3109,Bread of Life Church,Christian
"8 Montgomery St, Doncaster East VIC 3109, Australia","Doncaster City Church VIC,Australia",-37.7882954,145.1603807,3109,Doncaster City Church,Christian
"460 Blackburn Rd, Doncaster East VIC 3109, Australia","Deep Creek Anglican Church VIC,Australia",-37.7662166,145.1666028,3109,Deep Creek Anglican Church,Christian
"47-53 Tunstall Rd, Doncaster East VIC 3109, Australia","East Doncaster Baptist Church VIC,Australia",-37.7937288,145.169813,3109,East Doncaster Baptist Church,Christian
"188 Blackburn Rd, Doncaster East VIC 3109, Australia","Edge Church VIC,Australia",-37.785359,145.16304,3109,Edge Church,Christian
"107 Andersons Creek Rd, Doncaster East VIC 3109, Australia","Templestowe Baptist Church VIC,Australia",-37.7672324,145.1714882,3109,Templestowe Baptist Church,Christian
"5 McGowans Rd, Donvale VIC 3111, Australia","Donvale Prebyterian Church VIC,Australia",-37.795799,145.179995,3111,Donvale Prebyterian Church,Christian
"320 Reynolds Rd, Donvale VIC 3111, Australia","Vantage Point Church VIC,Australia",-37.767467,145.191889,3111,Vantage Point Church,Christian
"15-49 Old Melbourne Rd, Chirnside Park VIC 3116, Australia","Life Ministry Centre Church VIC,Australia",-37.7621057,145.3032343,3116,Life Ministry Centre Church,Christian
"360 Church St, Richmond VIC 3121, Australia","St Stephen's Anglican Church VIC,Australia",-37.8224703,144.9981836,3121,St Stephen's Anglican Church,Christian
"10 Griffiths St, Richmond VIC 3121, Australia","Bridge Church Church VIC,Australia",-37.8181901,145.0022981,3121,Bridge Church Church,Christian
"10 Griffiths St, Richmond VIC 3121, Australia","Bridge Church Church VIC,Australia",-37.8181901,145.0022981,3121,Bridge Church Church,Christian
"360 Church St, Richmond VIC 3121, Australia","St Stephen's Anglican Church VIC,Australia",-37.8224703,144.9981836,3121,St Stephen's Anglican Church,Christian
"81 Oxley Rd, Hawthorn VIC 3122, Australia","Auburn Uniting Church VIC,Australia",-37.8247372,145.0428462,3122,Auburn Uniting Church,Christian
"36 Barton St, Hawthorn VIC 3122, Australia","Hawthorn West Baptist Church VIC,Australia",-37.818511,145.022149,3122,Hawthorn West Baptist Church,Christian
"5 St Columbs St, Hawthorn VIC 3122, Australia","St Columb's Anglican Church VIC,Australia",-37.8234704,145.0395057,3122,St Columb's Anglican Church,Christian
"460 Riversdale Rd, Hawthorn East VIC 3123, Australia","Camberwell Baptist Church VIC,Australia",-37.8314652,145.0553295,3123,Camberwell Baptist Church,Christian
"460 Riversdale Rd, Hawthorn East VIC 3123, Australia","EastCamberwell Baptist Church VIC,Australia",-37.8314652,145.0553295,3123,EastCamberwell Baptist Church,Christian
"910 Toorak Rd, Camberwell VIC 3124, Australia","UCA Gospel Hall Church VIC,Australia",-37.846358,145.057135,3124,UCA Gospel Hall Church,Christian
"1 Canterbury Rd, Camberwell VIC 3124, Australia","St Mark's Anglican Church VIC,Australia",-37.8212974,145.0592091,3124,St Mark's Anglican Church,Christian
"581 Riversdale Rd, Camberwell VIC 3124, Australia","Trinity Prebyterian Church VIC,Australia",-37.8317164,145.0618456,3124,Trinity Prebyterian Church,Christian
"7 Bowen St, Camberwell VIC 3124, Australia","Salvation Army Church VIC,Australia",-37.839092,145.063617,3124,Salvation Army Church,Christian
"1 Canterbury Rd, Camberwell VIC 3124, Australia","St Mark??s Anglican Church VIC,Australia",-37.8212974,145.0592091,3124,St Mark??s Anglican Church,Christian
"7 Bowen St, Camberwell VIC 3124, Australia","Salvation Army Church VIC,Australia",-37.839092,145.063617,3124,Salvation Army Church,Christian
"17 Livingstone Cl, Burwood VIC 3125, Australia","Christian Alliance Church of Victoria VIC,Australia",-37.842659,145.108716,3125,Christian Alliance Church of Victoria,Christian
"13 Tennyson St, Burwood VIC 3125, Australia","Burwood Community Presbyterian Church Church VIC,Australia",-37.851074,145.130434,3125,Burwood Community Presbyterian Church Church,Christian
"44 Station St, Burwood VIC 3125, Australia","St Thomas' Burwood Anglican Church VIC,Australia",-37.8529101,145.119727,3125,St Thomas' Burwood Anglican Church,Christian
"2 Margaret St, Canterbury VIC 3126, Australia","St Paul's Anglican Church VIC,Australia",-37.827084,145.085378,3126,St Paul's Anglican Church,Christian
"1A Balwyn Rd, Canterbury VIC 3126, Australia","Canterbury Baptist Church VIC,Australia",-37.823277,145.079076,3126,Canterbury Baptist Church,Christian
"72 Highfield Rd, Canterbury VIC 3126, Australia","Highfield RoadUniting Church VIC,Australia",-37.8314287,145.0858918,3126,Highfield RoadUniting Church,Christian
"2 Margaret St, Canterbury VIC 3126, Australia","St Paul's Anglican Church VIC,Australia",-37.827084,145.085378,3126,St Paul's Anglican Church,Christian
"650 Canterbury Rd, Surrey Hills VIC 3127, Australia","St Stephen's Presbyterian Church VIC,Australia",-37.8266165,145.1001921,3127,St Stephen's Presbyterian Church,Christian
"245 Middleborough Rd, Box Hill South VIC 3128, Australia","Living Streams Christian Church VIC,Australia",-37.8390027,145.1344766,3128,Living Streams Christian Church,Christian
"28 Watts St, Box Hill VIC 3128, Australia","Reformed Church VIC,Australia",-37.8159022,145.1258984,3128,Reformed Church,Christian
"275 Middleborough Rd, Box Hill South VIC 3128, Australia","Revival Centres International Church VIC,Australia",-37.8354377,145.1352222,3128,Revival Centres International Church,Christian
"711 Station St, Box Hill VIC 3128, Australia","St Paul's Lutheran Church VIC,Australia",-37.8166248,145.1238756,3128,St Paul's Lutheran Church,Christian
"234 Elgar Rd, Box Hill South VIC 3128, Australia","Wattle Park Chapel Church VIC,Australia",-37.835437,145.112138,3128,Wattle Park Chapel Church,Christian
"234 Elgar Rd, Box Hill South VIC 3128, Australia","Grace Christian Community Church VIC,Australia",-37.8354711,145.1121419,3128,Grace Christian Community Church,Christian
"38 Lexton Rd, Box Hill North VIC 3129, Australia","Full Gospel Assembly Church VIC,Australia",-37.812281,145.136257,3129,Full Gospel Assembly Church,Christian
"100 Rostrevor Parade, N Mont Albert VIC 3129, Australia","Belmore Road church of Christ Church VIC,Australia",-37.802338,145.108401,3129,Belmore Road church of Christ Church,Christian
